IMDB_ID,Title,Stars,Year,Genres,Description,Certificate,Writers,Director,Primary Genre,Votes,Rating,Duration
tt0342258,Unleashed,"Jet Li, Bob Hoskins, Morgan Freeman, Jet Li, Bob Hoskins, Morgan Freeman",2005,"Martial Arts, Action, Crime, Thriller, Back to top",A man enslaved by the mob since childhood and raised into behaving like a human attack dog escapes his captors and attempts to start a new life.,R,Luc Besson,Louis Leterrier,Martial Arts,109779,7,103
tt0327679,Ella Enchanted,"Anne Hathaway, Hugh Dancy, Cary Elwes, Anne Hathaway, Hugh Dancy, Cary Elwes",2004,"Fairy Tale, Teen Comedy, Teen Fantasy, Comedy, Family, Fantasy, Romance, Back to top","Ella is under a spell to be constantly obedient, a fact she must hide from her new stepfamily in order to protect the prince of the land, her friend for whom she's falling.",PG,"Laurie Craig, Kirsten Smith, Karen McCullah",Tommy O'Haver,Fairy Tale,77650,6.3,96
tt0120587,Antz,"Woody Allen, Sharon Stone, Gene Hackman, Woody Allen, Sharon Stone, Gene Hackman",1998,"Animal Adventure, Buddy Comedy, Computer Animation, Adventure, Animation, Comedy, Family, Back to top",A rather neurotic ant tries to break from his totalitarian society while trying to win the affection of the princess he loves.,PG,"Chris Weitz, Paul Weitz, Todd Alcott",Eric Darnell,Animal Adventure,167049,6.5,83
tt0043265,The African Queen,"Humphrey Bogart, Katharine Hepburn, Robert Morley, Humphrey Bogart, Katharine Hepburn, Robert Morley",1951,"Jungle Adventure, Adventure, Drama, Romance, War, Back to top","In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German... Read all",PG,"James Agee, John Huston, C.S. Forester",John Huston,Jungle Adventure,86453,7.7,105
tt1020072,Selma,"David Oyelowo, Carmen Ejogo, Oprah Winfrey, David Oyelowo, Carmen Ejogo, Oprah Winfrey",2014,"Docudrama, Period Drama, Biography, Drama, History, Back to top","A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.",PG-13,Paul Webb,Ava DuVernay,Docudrama,97244,7.5,128
tt0369441,Fun with Dick and Jane,"Jim Carrey, Téa Leoni, Alec Baldwin, Jim Carrey, Téa Leoni, Alec Baldwin",2005,"Dark Comedy, Slapstick, Comedy, Crime, Back to top","When an affluent couple lose all their money following a series of blunders, they turn to a life of crime to make ends meet.",PG-13,"Nicholas Stoller, Judd Apatow, Gerald Gaiser",Dean Parisot,Dark Comedy,157984,6.2,90
tt0100740,Tales from the Darkside: The Movie,"Debbie Harry, Matthew Lawrence, Christian Slater, Debbie Harry, Matthew Lawrence, Christian Slater",1990,"Dark Comedy, Supernatural Horror, Comedy, Fantasy, Horror, Thriller, Back to top","To stall a witch plotting to eat him, a boy reads her horror tales dealing with a collegian's resurrection of a mummy, a murderous cat, and an artist's pact with a gargoyle.",R,"Arthur Conan Doyle, Stephen King, Michael McDowell",John Harrison,Dark Comedy,20082,6.2,93
tt0113936,National Lampoon's Senior Trip,"Matt Frewer, Valerie Mahaffey, Lawrence Dane, Matt Frewer, Valerie Mahaffey, Lawrence Dane",1995,"Teen Comedy, Adventure, Comedy, Back to top","To embarrass his rival, a scheming senator uses nitwit Ohio teens who are invited to a Washington gathering on educational failure.",R,"Roger Kumble, I. Marlene King",Kelly Makin,Teen Comedy,6538,5.6,91
tt4136084,Florence Foster Jenkins,"Meryl Streep, Hugh Grant, Simon Helberg, Meryl Streep, Hugh Grant, Simon Helberg",2016,"Biography, Comedy, Drama, Music, Back to top","The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.",PG-13,"Julia Kogan, Nicholas Martin",Stephen Frears,Biography,60896,6.8,111
tt0235737,The Salton Sea,"Val Kilmer, Vincent D'Onofrio, Adam Goldberg, Val Kilmer, Vincent D'Onofrio, Adam Goldberg",2002,"Crime, Drama, Mystery, Thriller, Back to top","After a tragic incident, a man drifts into a world populated by thugs and speed junkies.",R,Tony Gayton,D.J. Caruso,Crime,32434,7,103
